When do I activate Xtraview,xtraView_activation
How do I activate Xtraview,xtraView_activation
When do I activate XtraView,xtraView_activation
XtraView,xtraView_activation
XtraView activation,xtraView_activation
When do I do switching,switching
How do I switch accounts,switching
Switch,switching
Account switch,switching
Switching,switching
How do I process a refund,refund
Refund,refund
Process refund,refund
When do I do process a refund,refund
How do I break the Xtraview link,break_xtraview
Breaking the Xtraview link,break_xtraview
Break Xtraview,break_xtraview
Break link,break_xtraview
How do I schedule a upgrade,upgrade
When do I schedule a upgrade,upgrade
Upgrade,upgrade
Failed upgrade schedule,upgrade
downgrade,downgrade
How do I schedule a downgrade,downgrade
When do I schedule a downgrade,downgrade
Failed downgrade schedule,downgrade
Disconnect pending reconnect,pending_reconnect
What does disconnect pending reconnect mean,pending_reconnect
What do I do when status is disconnect pending reconnect,pending_reconnect
Remove status disconnect pending reconnect ,pending_reconnect
How to change status from disconnect pending reconnect,pending_reconnect
Can I manage my Holiday Home device online ,holiday_device
How do reconnect or disconnect my Holiday Home device,holiday_device
Reconnect holiday viewing on self service,holiday_device
Reconnect on self service,holiday_device
Reconnect online,holiday_device
How do I retrieve my statements? ,view_statements
Can I see my statements online? ,view_statements
Retrieve statements ,view_statements
Self service statements,view_statements
Statements online,view_statements
Can I pay for my DStv subscription online? ,payments
How do I process a payment online,payments
Pay online,payments
Process payment online,payments
Online payments,payments
Payments on self service,payments
Self service payments,payments
What is unallocated payments?,unallocated_payments
How to escalate for unallocated payments to be allocated,unallocated_payments
How to find an unallocated payment,unallocated_payments
How to allocate payments,unallocated_payments
Where do I escalate unallocated payments,unallocated_payments
When do I allocate payments,unallocated_payments
Unallocated payment,unallocated_payments
Missing payment,unallocated_payments
How is my allocation of payment approved,unallocated_payments
How do I view the status of a pending payment allocation,unallocated_payments
How do I transfer from one customer to another,inter_customer_transfer
How do I transfer between two customers,inter_customer_transfer
How do I do debtor to debtor,inter_customer_transfer
Transfer funds customers,inter_customer_transfer
Allocate funds customers,inter_customer_transfer
When does the money move to the other account,inter_customer_transfer
Is my debtor to debtor approved immediately,inter_customer_transfer
How do I see a pending transfer of funds,inter_customer_transfer
What is inter-customer transfer,inter_customer_transfer
No Catch Up titles on Explora,incorrect_titles
No titles on Catch Up,incorrect_titles
Some titles loading,incorrect_titles
Compact titles loading on Premium,incorrect_titles
Incorrect titles,incorrect_titles
How do move funds from one financial account to another on self service? ,fund_transfer
money on residential and want to move it to holiday home,fund_transfer
money on residential and want to move it to box office,fund_transfer
money on residential and want to move it to DPP,fund_transfer
money on residential and want to move it to pricelock,fund_transfer
Transfer funds accounts,fund_transfer
Allocate funds accounts,fund_transfer
Customers are unable to rent on their own by sending rental code via sms ,unable_to_rent
Unable to rent,unable_to_rent
SMS sent but no movie,unable_to_rent
BoxOffice movie not received,box_office
Movie rented but no movie,box_office
Incorrect movie received,box_office
No audio,box_office
No picture,box_office
No sound on movie,box_office
Movie rented but did not receive title,box_office
Rent now status,box_office
When do I move packages,move_packages
How do I move packages,move_packages
Why do I move packages,move_packages
Move packages,move_packages
Change devices,move_packages
How do I move variable packages,move_packages
How many times can I move packages,move_packages
Scheduling moving of packages,move_packages
How do I add device,add_device
When do I add device,add_device
Why do I add device,add_device
Add device,add_device
Remove device ,add_device
Change device status,add_device
View device status,add_device
How do I ship a device from Africa to south africa,add_device
Cant use BoxOffice,box_office_not_in_region
Not available in my region,box_office_not_in_region
Where do I find BoxOffice,box_office_not_in_region
New Explora cant use BoxOffice,box_office_not_in_region
How long will movie be available,box_office_not_in_region
Can I download my movie to external device,box_office_not_in_region
Can I have subtitles on my movie,box_office_not_in_region
Do I have box office on dstv packages,box_office_not_in_region
Installer short code,codes
Installer code,codes
Find installer code,codes
Get DCC,codes
DCC short code,codes
DCC code,codes
Statements,codes
Get statements,codes
Request statements code,codes
Balance enquire code,codes
Balance short code,codes
Balance code,codes
Get Dstv,codes
DStv short code,codes
Short codes,codes
who is watson,off_topic
what is the time,off_topic
where do you live,off_topic
can I have your number,off_topic
who is your father,off_topic
can we go on a date,off_topic
what is the wheather like,off_topic
